极速频,#genre#
农林卫视,http://223.111.150.99:2005/ysws.php?id=农林卫视
兵团卫视,http://223.111.150.99:2005/ysws.php?id=兵团卫视

央视频,#genre#
CCTV1,http://43.156.8.127:5050/ysp?id=2024078201&pid=600001859&q=fhd
CCTV2,http://43.156.8.127:5050/ysp?id=2024075401&pid=600001800&q=fhd
CCTV3,http://43.156.8.127:5050/ysp?id=2024068501&pid=600001801&q=fhd
(暂无)CCTV4,http://43.156.8.127:5050/ysp?id=2029797103&pid=600001814&q=fhd
CCTV5,http://43.156.8.127:5050/ysp?id=2024078401&pid=600001818&q=fhd
CCTV5+,http://43.156.8.127:5050/ysp?id=2024078001&pid=600001817&q=fhd
CCTV6,http://43.156.8.127:5050/ysp?id=2013693901&pid=600108442&q=fhd
CCTV7,http://43.156.8.127:5050/ysp?id=2024072001&pid=600004092&q=fhd
(暂无)CCTV8,http://43.156.8.127:5050/ysp?id=2029793001&pid=600001803&q=fhd
CCTV9,http://43.156.8.127:5050/ysp?id=2024078601&pid=600004078&q=fhd
CCTV10,http://43.156.8.127:5050/ysp?id=2024078701&pid=600001805&q=fhd
CCTV11,http://43.156.8.127:5050/ysp?id=2027248701&pid=600001806&q=fhd
CCTV12,http://43.156.8.127:5050/ysp?id=2027248801&pid=600001807&q=fhd
(暂无)CCTV13,http://43.156.8.127:5050/ysp?id=2029797203&pid=600001811&q=fhd
CCTV14,http://43.156.8.127:5050/ysp?id=2027248901&pid=600001809&q=fhd
CCTV15,http://43.156.8.127:5050/ysp?id=2027249001&pid=600001815&q=fhd
CCTV16,http://43.156.8.127:5050/ysp?id=2027249101&pid=600098637&q=fhd
CCTV16(4K),http://43.156.8.127:5050/ysp?id=2027249301&pid=600099502&q=fhd
CCTV17,http://43.156.8.127:5050/ysp?id=2027249401&pid=600001810&q=fhd
CCTV4K,http://43.156.8.127:5050/ysp?id=2027249501&pid=600002264&q=fhd
CCTV8K,http://43.156.8.127:5050/ysp?id=2026774101&pid=600156816&q=fhd
CGTN,http://43.156.8.127:5050/ysp?id=2024181701&pid=600014550&q=fhd
CGTN法语,http://43.156.8.127:5050/ysp?id=2024181801&pid=600084704&q=fhd
CGTN俄语,http://43.156.8.127:5050/ysp?id=2024181901&pid=600084758&q=fhd
CGTN阿拉伯语,http://43.156.8.127:5050/ysp?id=2024182001&pid=600084782&q=fhd
CGTN西班牙语,http://43.156.8.127:5050/ysp?id=2024182101&pid=600084744&q=fhd
CGTN纪录,http://43.156.8.127:5050/ysp?id=2024182301&pid=600084781&q=fhd
第一剧场,http://43.156.8.127:5050/ysp?id=2026874203&pid=600099655&q=fhd
风云剧场,http://43.156.8.127:5050/ysp?id=2025637103&pid=600099658&q=fhd
怀旧剧场,http://43.156.8.127:5050/ysp?id=2026874303&pid=600099620&q=fhd
第一剧场,http://43.156.8.127:5050/ysp?id=2026874203&pid=600099655&q=fhd
风云剧场,http://43.156.8.127:5050/ysp?id=2025637103&pid=600099658&q=fhd
怀旧剧场,http://43.156.8.127:5050/ysp?id=2026874303&pid=600099620&q=fhd
世界地理,http://43.156.8.127:5050/ysp?id=2026874403&pid=600099637&q=fhd
风云音乐,http://43.156.8.127:5050/ysp?id=2026874503&pid=600099660&q=fhd
兵器科技,http://43.156.8.127:5050/ysp?id=2026874603&pid=600099649&q=fhd
风云足球,http://43.156.8.127:5050/ysp?id=2026966203&pid=600099636&q=fhd
高尔夫网球,http://43.156.8.127:5050/ysp?id=2026874703&pid=600099659&q=fhd
女性时尚,http://43.156.8.127:5050/ysp?id=2026874803&pid=600099650&q=fhd
文化精品,http://43.156.8.127:5050/ysp?id=2026874903&pid=600099653&q=fhd
央视台球,http://43.156.8.127:5050/ysp?id=2026875003&pid=600099652&q=fhd
电视指南,http://43.156.8.127:5050/ysp?id=2026875103&pid=600099656&q=fhd
卫生健康,http://43.156.8.127:5050/ysp?id=2025637003&pid=600099651&q=fhd
北京卫视,http://43.156.8.127:5050/ysp?id=2024052703&pid=600002309&q=fhd
东方卫视,http://43.156.8.127:5050/ysp?id=2024054503&pid=600002483&q=fhd
江苏卫视,http://43.156.8.127:5050/ysp?id=2024171103&pid=600002521&q=fhd
浙江卫视,http://43.156.8.127:5050/ysp?id=2024054703&pid=600002520&q=fhd
湖南卫视,http://43.156.8.127:5050/ysp?id=2024054803&pid=600002475&q=fhd
湖北卫视,http://43.156.8.127:5050/ysp?id=2024171203&pid=600002508&q=fhd
广东卫视,http://43.156.8.127:5050/ysp?id=2024060903&pid=600002485&q=fhd
广西卫视,http://43.156.8.127:5050/ysp?id=2024060703&pid=600002509&q=fhd
(暂无)黑龙江卫视,http://43.156.8.127:5050/ysp?id=2029797003&pid=600002498&q=fhd
海南卫视,http://43.156.8.127:5050/ysp?id=2024055603&pid=600002506&q=fhd
重庆卫视,http://43.156.8.127:5050/ysp?id=2024061103&pid=600002531&q=fhd
中国教育1台,http://43.156.8.127:5050/ysp?id=2022823801&pid=600171827&q=fhd
深圳卫视,http://43.156.8.127:5050/ysp?id=2024061303&pid=600002481&q=fhd
四川卫视,http://43.156.8.127:5050/ysp?id=2024061403&pid=600002516&q=fhd
(暂无)河南卫视,http://43.156.8.127:5050/ysp?id=2029797303&pid=600002525&q=fhd
东南卫视,http://43.156.8.127:5050/ysp?id=2024061503&pid=600002484&q=fhd
贵州卫视,http://43.156.8.127:5050/ysp?id=2024061603&pid=600002490&q=fhd
江西卫视,http://43.156.8.127:5050/ysp?id=2024061703&pid=600002503&q=fhd
辽宁卫视,http://43.156.8.127:5050/ysp?id=2024171303&pid=600002505&q=fhd
安徽卫视,http://43.156.8.127:5050/ysp?id=2024171403&pid=600002532&q=fhd
河北卫视,http://43.156.8.127:5050/ysp?id=2024171503&pid=600002493&q=fhd
(暂无)山东卫视,http://43.156.8.127:5050/ysp?id=2029787903&pid=600002513&q=fhd
天津卫视,http://43.156.8.127:5050/ysp?id=2019927003&pid=600152137&q=fhd
(暂无)陝西卫视,http://43.156.8.127:5050/ysp?id=2029795103&pid=600190400&q=fhd
内蒙古卫视,http://43.156.8.127:5050/ysp?id=2025561203&pid=600190401&q=fhd
甘肃卫视,http://43.156.8.127:5050/ysp?id=2025561703&pid=600190408&q=fhd
宁夏卫视,http://43.156.8.127:5050/ysp?id=2025608503&pid=600190737&q=fhd
山西卫视,http://43.156.8.127:5050/ysp?id=2025560803&pid=600190407&q=fhd
云南卫视,http://43.156.8.127:5050/ysp?id=2025561303&pid=600190402&q=fhd
吉林卫视,http://43.156.8.127:5050/ysp?id=2025561503&pid=600190405&q=fhd
青海卫视,http://43.156.8.127:5050/ysp?id=2025559103&pid=600190406&q=fhd
西藏卫视,http://43.156.8.127:5050/ysp?id=2025558003&pid=600190403&q=fhd
新疆卫视,http://43.156.8.127:5050/ysp?id=2019927403&pid=600152138&q=fhd
兵团卫视,http://43.156.8.127:5050/ysp?id=2025990501&pid=600193252&q=fhd
(暂无)国学频道,http://43.156.8.127:5050/ysp?id=2029360403&pid=600213139&q=fhd

咪视界,#genre#
咪视界4K,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000005180&livemode=1&stbId=BingCha
至臻视界,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000015686&livemode=1&stbId=BingCha
睛彩竞技,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000004193&livemode=1&stbId=BingCha
睛彩广舞,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000006658&livemode=1&stbId=BingCha
睛彩青少,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000011297&livemode=1&stbId=BingCha
睛彩篮球,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=3000000010000021904&livemode=1&stbId=BingCha
咪视界1,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000005308&livemode=1&stbId=BingCha
咪视界2,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000005969&livemode=1&stbId=BingCha
咪视界3,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000007218&livemode=1&stbId=BingCha
咪视界4,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008001&livemode=1&stbId=BingCha
咪视界5,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008176&livemode=1&stbId=BingCha
咪视界6,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000008379&livemode=1&stbId=BingCha
咪视界7,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000010129&livemode=1&stbId=BingCha
咪视界8,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000010948&livemode=1&stbId=BingCha
咪视界9,http://gslbserv.itv.cmvideo.cn:80/index.m3u8?channel-id=FifastbLive&Contentid=3000000001000028638&livemode=1&stbId=BingCha
