分类: 港推流, 名称: Mytv SUPER FREE, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 250 ms, 最高速率: 0.45 M/s, 平均速率: 0.45 M/s, 最高分辨率: 1280x720
分类: 港推流, 名称: Mytv华语剧台, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 135 ms, 最高速率: 0.37 M/s, 平均速率: 0.37 M/s, 最高分辨率: 1280x720
分类: 港推流, 名称: Mytv亚洲剧台, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 184 ms, 最高速率: 0.38 M/s, 平均速率: 0.38 M/s, 最高分辨率: 1280x720
分类: 港推流, 名称: Mytv黄金华剧台, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 95 ms, 最高速率: 0.42 M/s, 平均速率: 0.42 M/s, 最高分辨率: 1280x720
分类: 港推流, 名称: Mytv黄金翡翠台, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 92 ms, 最高速率: 0.40 M/s, 平均速率: 0.40 M/s, 最高分辨率: 1280x720
分类: 港推流, 名称: Mytv戏曲台, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 109 ms, 最高速率: 0.41 M/s, 平均速率: 0.41 M/s, 最高分辨率: 1280x720
分类: 港推流, 名称: 天映频道, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 153 ms, 最高速率: 0.56 M/s, 平均速率: 0.56 M/s, 最高分辨率: 1920x1080
分类: 港推流, 名称: 天映经典, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 190 ms, 最高速率: 0.59 M/s, 平均速率: 0.59 M/s, 最高分辨率: 1920x1080
分类: 港推流, 名称: Mytv跑马台, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 94 ms, 最高速率: 0.72 M/s, 平均速率: 0.72 M/s, 最高分辨率: 1280x720
分类: 港推流, 名称: POPC, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 160 ms, 最高速率: 0.56 M/s, 平均速率: 0.56 M/s, 最高分辨率: 1920x1080
分类: 港推流, 名称: 美亚电影, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 101 ms, 最高速率: 0.73 M/s, 平均速率: 0.73 M/s, 最高分辨率: 1920x1080
分类: 港推流, 名称: ROCK综艺娱乐, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 102 ms, 最高速率: 0.36 M/s, 平均速率: 0.36 M/s, 最高分辨率: 1280x720
分类: 湾推流, 名称: 华视, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 162 ms, 最高速率: 0.30 M/s, 平均速率: 0.30 M/s, 最高分辨率: 1280x720
分类: 湾推流, 名称: 中视, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 202 ms, 最高速率: 0.26 M/s, 平均速率: 0.26 M/s, 最高分辨率: 1280x720
分类: 湾推流, 名称: TVBS HD, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 湾推流, 名称: 中天新闻, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 215 ms, 最高速率: 0.31 M/s, 平均速率: 0.31 M/s, 最高分辨率: 1280x720
分类: 湾推流, 名称: 中视新聞, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 177 ms, 最高速率: 0.28 M/s, 平均速率: 0.28 M/s, 最高分辨率: 1280x720
分类: 湾推流, 名称: 寰宇台湾, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 94 ms, 最高速率: 0.47 M/s, 平均速率: 0.47 M/s, 最高分辨率: 1280x720
分类: 湾推流, 名称: 寰宇新闻, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 230 ms, 最高速率: 0.24 M/s, 平均速率: 0.24 M/s, 最高分辨率: 1280x720
分类: 湾推流, 名称: 寰宇财经台, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 94 ms, 最高速率: 0.22 M/s, 平均速率: 0.22 M/s, 最高分辨率: 1280x720
分类: 湾推流, 名称: 龙华卡通台, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 152 ms, 最高速率: 0.49 M/s, 平均速率: 0.49 M/s, 最高分辨率: 1280x720
分类: 湾推流, 名称: 龙华洋片台, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 165 ms, 最高速率: 0.44 M/s, 平均速率: 0.44 M/s, 最高分辨率: 1280x720
分类: 湾推流, 名称: 龙华日韩台, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 191 ms, 最高速率: 0.48 M/s, 平均速率: 0.48 M/s, 最高分辨率: 1280x720
分类: 湾推流, 名称: 龙华电影台, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 94 ms, 最高速率: 0.44 M/s, 平均速率: 0.44 M/s, 最高分辨率: 1280x720
分类: 湾推流, 名称: 龙华偶像台, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 192 ms, 最高速率: 0.59 M/s, 平均速率: 0.59 M/s, 最高分辨率: 1280x720
